Order,Lot Frontage,Lot Frontage,Garage Area,House Style,Fireplaces,Garage Type,Garage Cars,Yr Sold,SalePrice
82,70.0,70.0,476.0,2Story,1,Attchd,2.0,2010,171000
83,70.0,70.0,429.0,1Story,0,Detchd,1.0,2010,67500
84,68.0,68.0,539.0,1.5Fin,0,Attchd,2.0,2010,112000
85,88.0,88.0,576.0,SFoyer,0,Detchd,2.0,2010,148000
86,65.0,65.0,336.0,1Story,1,Detchd,1.0,2010,138500
87,,,280.0,1Story,0,Detchd,1.0,2010,122000
88,75.0,75.0,308.0,1Story,0,Attchd,1.0,2010,133000
89,,,260.0,1Story,0,Detchd,1.0,2010,127000
90,39.0,39.0,461.0,1Story,2,Attchd,2.0,2010,169000
91,107.0,107.0,564.0,2Story,1,Attchd,2.0,2010,190000
92,85.0,85.0,762.0,2Story,1,Attchd,3.0,2010,362500
93,88.0,88.0,713.0,2Story,1,Attchd,3.0,2010,285000
94,25.0,25.0,506.0,1Story,1,Attchd,2.0,2010,260000
95,39.0,39.0,588.0,2Story,0,Attchd,2.0,2010,190000
96,30.0,30.0,480.0,2Story,0,Detchd,2.0,2010,155000
97,30.0,30.0,480.0,2Story,0,Detchd,2.0,2010,151000
98,24.0,24.0,480.0,2Story,0,Detchd,2.0,2010,149500
99,24.0,24.0,480.0,2Story,0,Detchd,2.0,2010,152000
100,,,484.0,1Story,1,Attchd,2.0,2010,222000
101,,,440.0,2Story,0,Detchd,2.0,2010,177500
102,,,440.0,2Story,0,Detchd,2.0,2010,177000
103,24.0,24.0,484.0,2Story,0,Detchd,2.0,2010,155000
104,,,496.0,2Story,0,Attchd,2.0,2010,147110
105,57.0,57.0,852.0,1Story,1,Attchd,3.0,2010,267916
106,68.0,68.0,592.0,2Story,1,Attchd,2.0,2010,254000
107,30.0,30.0,484.0,1Story,1,Detchd,2.0,2010,155000
108,40.0,40.0,484.0,1Story,1,Attchd,2.0,2010,206000
109,,,475.0,2Story,0,Attchd,2.0,2010,130500
110,80.0,80.0,596.0,1Story,1,Attchd,2.0,2010,230000
111,,,535.0,1Story,0,Attchd,2.0,2010,218500
112,80.0,80.0,660.0,2Story,1,Attchd,2.0,2010,243500
113,,,480.0,1Story,2,Attchd,2.0,2010,205000
114,,,678.0,1.5Fin,1,Attchd,2.0,2010,212500
115,80.0,80.0,496.0,2Story,1,Attchd,2.0,2010,196500
116,78.0,78.0,676.0,1Story,1,Attchd,2.0,2010,197500
117,80.0,80.0,441.0,2Story,0,Attchd,2.0,2010,171000
118,80.0,80.0,490.0,1Story,0,Attchd,2.0,2010,142250
119,,,528.0,1Story,2,Attchd,2.0,2010,143000
120,77.0,77.0,0.0,1Story,0,,0.0,2010,128950
121,90.0,90.0,504.0,1Story,0,Attchd,2.0,2010,159000
122,88.0,88.0,517.0,1Story,0,Attchd,2.0,2010,178900
123,,,480.0,SLvl,0,Attchd,2.0,2010,136300
124,,,484.0,SLvl,1,Attchd,2.0,2010,180500
125,80.0,80.0,480.0,SFoyer,0,Attchd,2.0,2010,137500
126,98.0,98.0,0.0,1Story,0,,0.0,2010,84900
127,68.0,68.0,240.0,1Story,0,Attchd,1.0,2010,142125
128,68.0,68.0,400.0,1.5Fin,2,Detchd,2.0,2010,197600
129,120.0,120.0,470.0,1.5Fin,1,Attchd,2.0,2010,172500
130,50.0,50.0,0.0,1Story,0,,0.0,2010,116500
131,55.0,55.0,0.0,1Story,0,,0.0,2010,76500
132,80.0,80.0,280.0,1Story,0,Attchd,1.0,2010,128000
133,80.0,80.0,364.0,SLvl,2,Basment,1.0,2010,153000
134,78.0,78.0,244.0,1Story,1,Attchd,1.0,2010,132000
135,75.0,75.0,315.0,SFoyer,1,Attchd,1.0,2010,178000
136,80.0,80.0,480.0,2Story,0,Detchd,2.0,2010,154300
137,,,576.0,1Story,1,Attchd,2.0,2010,180000
138,137.0,137.0,578.0,1Story,1,Attchd,2.0,2010,190000
139,70.0,70.0,576.0,1Story,0,Attchd,2.0,2010,135000
140,70.0,70.0,620.0,1Story,0,Attchd,2.0,2010,214000
141,,,308.0,1Story,0,Attchd,1.0,2010,136000
142,70.0,70.0,447.0,1Story,1,Attchd,2.0,2010,165500
143,70.0,70.0,294.0,1Story,0,Attchd,1.0,2010,145000
144,73.0,73.0,312.0,1Story,0,Attchd,1.0,2010,148000
145,,,531.0,1Story,0,Attchd,2.0,2010,142000
146,73.0,73.0,461.0,1Story,2,Attchd,2.0,2010,167500
147,87.0,87.0,312.0,1Story,0,Attchd,1.0,2010,108538
148,80.0,80.0,440.0,1Story,2,Attchd,2.0,2010,159500
149,60.0,60.0,263.0,1.5Fin,0,Attchd,1.0,2010,108000
150,60.0,60.0,318.0,1Story,0,Detchd,1.0,2010,135000
151,119.0,119.0,305.0,1Story,0,Attchd,1.0,2010,122500
152,70.0,70.0,264.0,1Story,0,Attchd,1.0,2010,119000
153,68.0,68.0,246.0,1Story,0,Detchd,1.0,2010,109000
154,65.0,65.0,676.0,1Story,0,Detchd,2.0,2010,105000
155,60.0,60.0,392.0,1Story,1,Detchd,1.0,2010,107500
156,85.0,85.0,490.0,1Story,0,Attchd,2.0,2010,144900
157,74.0,74.0,308.0,1Story,0,Attchd,1.0,2010,129000
158,78.0,78.0,330.0,1.5Fin,1,Attchd,1.0,2010,97500
159,64.0,64.0,576.0,SFoyer,0,Detchd,2.0,2010,144000
160,,,576.0,1Story,1,Detchd,2.0,2010,162000
161,96.0,96.0,564.0,SLvl,1,BuiltIn,2.0,2010,242000
162,60.0,60.0,280.0,1.5Fin,0,Detchd,1.0,2010,132000
163,75.0,75.0,305.0,1Story,0,Attchd,1.0,2010,154000
164,71.0,71.0,720.0,1.5Fin,0,Detchd,2.0,2010,166000
165,60.0,60.0,576.0,1Story,0,Detchd,2.0,2010,134800
166,87.0,87.0,440.0,1Story,0,Attchd,2.0,2010,160000
167,81.0,81.0,484.0,1Story,0,Detchd,2.0,2010,148000
168,80.0,80.0,440.0,1Story,1,Attchd,2.0,2010,192000
169,70.0,70.0,442.0,2Story,1,Attchd,2.0,2010,155000
170,60.0,60.0,240.0,1.5Fin,2,Basment,1.0,2010,80400
171,55.0,55.0,0.0,1.5Fin,0,,0.0,2010,96500
172,56.0,56.0,0.0,1Story,1,,0.0,2010,109500
173,56.0,56.0,360.0,1Story,1,Detchd,2.0,2010,115000
174,69.0,69.0,551.0,1Story,0,Detchd,2.0,2010,143000
175,60.0,60.0,379.0,2Story,0,Detchd,1.0,2010,107400
176,47.0,47.0,220.0,1Story,0,Attchd,1.0,2010,80000
177,60.0,60.0,240.0,1Story,2,Attchd,1.0,2010,119000
178,50.0,50.0,484.0,1.5Fin,0,Detchd,2.0,2010,130000
179,50.0,50.0,240.0,1.5Fin,0,Detchd,1.0,2010,119000
180,69.0,69.0,240.0,1.5Fin,1,Detchd,1.0,2010,129000
181,,,315.0,1.5Fin,0,Detchd,1.0,2010,100000
182,68.0,68.0,780.0,1Story,1,Detchd,2.0,2010,12789
183,60.0,60.0,484.0,1Story,0,Detchd,2.0,2010,105900
184,60.0,60.0,288.0,2Story,0,Detchd,1.0,2010,150000
185,60.0,60.0,416.0,1.5Fin,0,Detchd,1.0,2010,139000
186,50.0,50.0,624.0,2Story,0,Detchd,2.0,2010,240000
187,100.0,100.0,0.0,2Story,0,,0.0,2010,76500
188,90.0,90.0,923.0,1Story,0,Attchd,2.0,2010,149700
189,60.0,60.0,528.0,2Story,0,Detchd,2.0,2010,125500
190,60.0,60.0,560.0,2Story,0,Detchd,2.0,2010,122500
191,60.0,60.0,624.0,2Story,0,Detchd,2.0,2010,140750
192,53.0,53.0,363.0,1.5Fin,0,Detchd,1.0,2010,128500
193,,,315.0,2.5Unf,1,Detchd,1.0,2010,209500
194,50.0,50.0,200.0,1Story,0,Detchd,1.0,2010,87000
195,50.0,50.0,240.0,1.5Fin,0,Detchd,1.0,2010,134000
196,50.0,50.0,576.0,1.5Fin,2,Detchd,2.0,2010,128000
197,53.0,53.0,240.0,1.5Fin,2,Detchd,1.0,2010,132000
198,50.0,50.0,312.0,1.5Fin,0,Detchd,1.0,2010,139900
199,52.0,52.0,624.0,1.5Fin,0,Detchd,2.0,2010,123900
200,52.0,52.0,480.0,1.5Fin,1,Detchd,2.0,2010,138400
201,51.0,51.0,288.0,1Story,1,Detchd,1.0,2010,109500
202,50.0,50.0,480.0,2Story,0,Detchd,2.0,2010,140000
203,57.0,57.0,572.0,1.5Fin,1,Detchd,2.0,2010,149500
204,60.0,60.0,0.0,2Story,0,,0.0,2010,159900
205,52.0,52.0,180.0,2Story,0,Detchd,1.0,2010,122000
206,110.0,110.0,516.0,1Story,0,CarPort,2.0,2010,110000
207,70.0,70.0,0.0,2Story,0,,0.0,2010,55000
208,76.0,76.0,672.0,2Story,1,Detchd,2.0,2010,140000
209,,,349.0,2Story,2,Attchd,1.0,2010,244400
210,100.0,100.0,365.0,1Story,2,Attchd,1.0,2010,173000
211,72.0,72.0,180.0,1.5Fin,0,Detchd,1.0,2010,107500
212,60.0,60.0,0.0,1.5Fin,0,,0.0,2010,100000
213,65.0,65.0,231.0,1.5Fin,0,Detchd,1.0,2010,95000
214,,,0.0,2Story,0,,0.0,2010,93369
215,60.0,60.0,450.0,1.5Fin,1,Detchd,2.0,2010,114900
216,54.0,54.0,0.0,1.5Fin,0,,0.0,2010,94000
217,72.0,72.0,0.0,1Story,0,,0.0,2010,136000
218,72.0,72.0,0.0,1Story,0,,0.0,2010,136500
219,75.0,75.0,504.0,1Story,0,Attchd,2.0,2010,131500
220,,,528.0,1Story,1,Detchd,2.0,2010,121500
221,70.0,70.0,336.0,1Story,1,Detchd,1.0,2010,125000
222,,,270.0,1Story,1,Attchd,1.0,2010,154000
223,65.0,65.0,416.0,1Story,0,Detchd,1.0,2010,137900
224,80.0,80.0,299.0,2Story,0,Attchd,1.0,2010,158000
225,65.0,65.0,280.0,1Story,0,Detchd,1.0,2010,137250
226,,,591.0,SFoyer,2,Attchd,2.0,2010,160250
227,86.0,86.0,480.0,2Story,2,Attchd,2.0,2010,163000
228,,,440.0,2Story,1,Attchd,2.0,2010,158900
229,80.0,80.0,533.0,2Story,0,Attchd,2.0,2010,328000
230,,,690.0,1Story,2,Attchd,2.0,2010,270000
231,94.0,94.0,440.0,1Story,0,Detchd,2.0,2010,85000
232,60.0,60.0,436.0,1Story,0,Attchd,2.0,2010,128000
233,,,586.0,1Story,1,Attchd,2.0,2010,260000
234,,,522.0,2Story,1,Attchd,2.0,2010,230000
235,124.0,124.0,480.0,1.5Fin,1,Attchd,1.0,2010,124000
236,85.0,85.0,366.0,1Story,0,Basment,1.0,2010,83000
237,65.0,65.0,467.0,1Story,1,Attchd,1.0,2010,144500
238,68.0,68.0,596.0,1Story,0,Attchd,1.0,2010,129000
239,50.0,50.0,209.0,1.5Fin,1,Detchd,1.0,2010,127000
240,75.0,75.0,366.0,1Story,0,Attchd,1.0,2010,128000
241,83.0,83.0,460.0,1Story,0,Attchd,2.0,2010,186000
242,44.0,44.0,572.0,1Story,2,Attchd,2.0,2010,308030
243,,,504.0,1Story,0,Detchd,2.0,2010,114000
244,60.0,60.0,308.0,1Story,0,Detchd,1.0,2010,84900
245,77.0,77.0,476.0,2Story,1,Attchd,2.0,2010,178000
246,83.0,83.0,528.0,1Story,2,Attchd,2.0,2010,270000
247,87.0,87.0,1017.0,2Story,1,2Types,4.0,2010,218000
248,80.0,80.0,574.0,2Story,1,Attchd,2.0,2010,236000
249,73.0,73.0,564.0,SFoyer,0,Attchd,2.0,2010,147000
250,64.0,64.0,776.0,1Story,0,Attchd,3.0,2010,245350
251,64.0,64.0,632.0,1Story,0,Attchd,2.0,2010,206000
252,94.0,94.0,740.0,1Story,0,Attchd,3.0,2010,198900
253,64.0,64.0,615.0,1Story,0,Attchd,2.0,2010,187000
254,90.0,90.0,594.0,2Story,2,Attchd,3.0,2010,320000
255,82.0,82.0,484.0,1.5Fin,0,Detchd,2.0,2010,138500
256,80.0,80.0,440.0,SLvl,0,Attchd,2.0,2010,155000
257,82.0,82.0,580.0,SFoyer,0,Attchd,2.0,2010,159000
258,,,513.0,2Story,1,Attchd,2.0,2010,191000
259,70.0,70.0,523.0,2Story,0,Attchd,2.0,2010,200500
260,38.0,38.0,308.0,1Story,0,Attchd,1.0,2010,150000
261,,,299.0,2Story,0,Attchd,1.0,2010,161750
262,75.0,75.0,308.0,1Story,0,Attchd,1.0,2010,128200
263,68.0,68.0,484.0,1Story,0,Detchd,2.0,2010,127000
264,80.0,80.0,850.0,1Story,1,Attchd,3.0,2010,318000
265,,,670.0,1Story,1,Attchd,2.0,2010,272000
266,44.0,44.0,613.0,2Story,1,Attchd,2.0,2010,237000
267,75.0,75.0,621.0,2Story,1,Attchd,2.0,2010,240000
268,48.0,48.0,598.0,1Story,0,Attchd,2.0,2010,224900
269,,,420.0,1Story,0,Attchd,2.0,2010,143750
270,,,420.0,1Story,0,Attchd,2.0,2010,143000
271,48.0,48.0,502.0,1Story,1,Attchd,2.0,2010,232000
272,70.0,70.0,606.0,1Story,0,Attchd,2.0,2010,213000
273,65.0,65.0,494.0,1Story,0,Attchd,2.0,2010,185500
274,67.0,67.0,240.0,1Story,0,Detchd,1.0,2010,84900
275,68.0,68.0,319.0,1Story,0,Detchd,1.0,2010,155891
276,75.0,75.0,0.0,1Story,0,,0.0,2010,100000
277,60.0,60.0,336.0,1Story,0,Attchd,1.0,2010,144000
278,89.0,89.0,480.0,1.5Fin,0,Detchd,2.0,2010,64000
279,65.0,65.0,352.0,SLvl,1,Detchd,1.0,2010,125200
280,94.0,94.0,672.0,SLvl,1,Detchd,2.0,2010,107000
281,64.0,64.0,0.0,1Story,0,,0.0,2010,90000
282,80.0,80.0,440.0,1Story,0,Attchd,2.0,2010,140000
283,52.0,52.0,220.0,1.5Fin,1,Detchd,1.0,2010,113000
284,60.0,60.0,280.0,1.5Fin,0,Detchd,1.0,2010,80000
285,68.0,68.0,364.0,1Story,1,Basment,1.0,2010,144500
286,67.0,67.0,260.0,1Story,1,Detchd,1.0,2010,104000
287,66.0,66.0,216.0,2Story,0,Detchd,1.0,2010,128000
288,45.0,45.0,200.0,1Story,0,Detchd,1.0,2010,58500
289,50.0,50.0,308.0,1.5Fin,1,Detchd,1.0,2010,127000
290,,,399.0,1Story,1,Detchd,2.0,2010,126000
291,60.0,60.0,0.0,2Story,0,,0.0,2010,160000
292,51.0,51.0,0.0,1.5Fin,1,,0.0,2010,100000
293,50.0,50.0,336.0,1.5Fin,1,Detchd,1.0,2010,169000
294,78.0,78.0,312.0,1.5Fin,2,Attchd,1.0,2010,257500
295,78.0,78.0,484.0,2Story,0,Detchd,2.0,2010,215000
296,66.0,66.0,252.0,2Story,2,Attchd,1.0,2010,266500
297,100.0,100.0,567.0,1Story,2,Attchd,2.0,2010,335000
298,85.0,85.0,473.0,SLvl,0,BuiltIn,2.0,2010,203135
299,35.0,35.0,598.0,1Story,1,Attchd,2.0,2010,185000
300,35.0,35.0,531.0,1Story,1,Attchd,2.0,2010,162500
301,100.0,100.0,484.0,1Story,2,Attchd,2.0,2010,289000
302,40.0,40.0,240.0,1.5Fin,0,Detchd,1.0,2010,125500
303,58.0,58.0,200.0,1Story,0,Detchd,1.0,2010,82000
304,50.0,50.0,625.0,1.5Fin,0,Detchd,1.0,2010,110000
305,60.0,60.0,528.0,1.5Fin,0,Detchd,2.0,2010,68400
306,66.0,66.0,384.0,1.5Fin,0,Detchd,1.0,2010,102776
307,66.0,66.0,504.0,1Story,0,Basment,2.0,2010,55993
308,66.0,66.0,330.0,1Story,0,Detchd,1.0,2010,50138
309,44.0,44.0,525.0,1Story,1,Attchd,2.0,2010,246000
310,85.0,85.0,741.0,2Story,1,Attchd,3.0,2010,254900
311,74.0,74.0,473.0,SLvl,1,Attchd,2.0,2010,190000
312,129.0,129.0,573.0,1Story,0,Attchd,2.0,2010,201000
313,,,888.0,SLvl,0,Attchd,3.0,2010,169900
314,,,776.0,1Story,0,2Types,2.0,2010,170000
315,,,572.0,1Story,2,Detchd,2.0,2010,160000
316,88.0,88.0,660.0,1Story,1,Attchd,3.0,2010,220000
317,73.0,73.0,520.0,1Story,0,Attchd,2.0,2010,179781
318,73.0,73.0,400.0,2Story,0,BuiltIn,2.0,2010,174000
319,92.0,92.0,680.0,2Story,1,BuiltIn,3.0,2010,269500
320,80.0,80.0,510.0,2Story,1,BuiltIn,2.0,2010,214900
321,85.0,85.0,431.0,2Story,0,Attchd,2.0,2010,202900
322,89.0,89.0,746.0,1Story,1,Attchd,3.0,2010,378500
323,85.0,85.0,528.0,1Story,1,Attchd,2.0,2010,169000
324,93.0,93.0,624.0,1Story,0,Attchd,2.0,2010,173500
325,94.0,94.0,0.0,2Story,0,,0.0,2010,139000
326,,,686.0,1Story,1,Attchd,2.0,2010,166500
327,,,286.0,2Story,0,Attchd,1.0,2010,83500
328,31.0,31.0,253.0,1Story,1,Attchd,1.0,2010,119500
329,36.0,36.0,336.0,2Story,0,Attchd,1.0,2010,85000
330,21.0,21.0,0.0,2Story,0,,0.0,2010,76000
331,21.0,21.0,0.0,SFoyer,0,,0.0,2010,75500
332,21.0,21.0,0.0,2Story,0,,0.0,2010,88250
333,21.0,21.0,286.0,2Story,0,Attchd,1.0,2010,85500
334,50.0,50.0,352.0,1Story,0,Detchd,1.0,2010,130000
335,,,312.0,1Story,0,Attchd,1.0,2010,157900
336,76.0,76.0,495.0,1Story,0,Attchd,2.0,2010,149900
337,70.0,70.0,616.0,2Story,0,Attchd,2.0,2010,159000
338,63.0,63.0,576.0,2Story,0,Detchd,2.0,2010,136000
339,68.0,68.0,275.0,1.5Fin,0,Attchd,1.0,2010,161000
340,76.0,76.0,482.0,1Story,2,Attchd,2.0,2010,285000
341,74.0,74.0,616.0,2Story,1,Attchd,2.0,2010,231000
342,74.0,74.0,502.0,1Story,0,Attchd,1.0,2009,124500
343,85.0,85.0,528.0,1Story,1,Attchd,2.0,2009,157000
344,75.0,75.0,538.0,SLvl,3,Attchd,2.0,2009,345000
345,88.0,88.0,470.0,2Story,1,Attchd,2.0,2009,189500
346,,,632.0,2Story,1,BuiltIn,3.0,2009,270000
347,60.0,60.0,390.0,SLvl,1,BuiltIn,2.0,2009,189000
348,42.0,42.0,758.0,1Story,2,Attchd,3.0,2009,377500
349,,,400.0,SLvl,1,BuiltIn,2.0,2009,168500
350,28.0,28.0,564.0,1Story,1,Attchd,2.0,2009,375000
351,40.0,40.0,499.0,1Story,1,Attchd,2.0,2009,278000
352,61.0,61.0,495.0,1Story,0,Attchd,2.0,2009,240000
353,57.0,57.0,528.0,1Story,0,Attchd,2.0,2009,239500
354,57.0,57.0,396.0,SLvl,1,BuiltIn,2.0,2009,177500
355,74.0,74.0,427.0,2Story,1,Attchd,2.0,2009,185000
356,60.0,60.0,440.0,2Story,1,Attchd,2.0,2009,191000
357,59.0,59.0,380.0,2Story,1,Attchd,2.0,2009,178000
358,,,420.0,2Story,1,BuiltIn,2.0,2009,185000
359,,,409.0,2Story,1,Attchd,2.0,2009,181316
360,58.0,58.0,430.0,1Story,1,Attchd,2.0,2009,166000
361,,,389.0,2Story,1,BuiltIn,2.0,2009,178000
362,65.0,65.0,343.0,2Story,1,Attchd,2.0,2009,174000
363,,,400.0,1Story,0,Attchd,2.0,2009,173000
364,,,490.0,2Story,1,Attchd,2.0,2009,225000
365,99.0,99.0,500.0,1Story,0,Attchd,2.0,2009,180500
366,,,565.0,1Story,1,Attchd,2.0,2009,187500
367,63.0,63.0,1166.0,1Story,1,Attchd,3.0,2009,501837
368,80.0,80.0,834.0,1Story,1,Attchd,3.0,2009,372500
369,124.0,124.0,430.0,1Story,1,Attchd,2.0,2009,260000
370,85.0,85.0,567.0,2Story,1,Attchd,2.0,2009,185000
371,94.0,94.0,484.0,2Story,1,Attchd,2.0,2009,260000
372,48.0,48.0,435.0,1Story,1,Attchd,2.0,2009,181000
373,85.0,85.0,544.0,1Story,1,Attchd,2.0,2009,82500
374,,,529.0,1Story,1,Attchd,2.0,2009,215000
375,,,529.0,2Story,1,Attchd,2.0,2009,154000
376,80.0,80.0,484.0,1Story,1,Attchd,2.0,2009,200000
377,,,441.0,2Story,1,BuiltIn,2.0,2009,249000
378,,,588.0,SLvl,2,Attchd,2.0,2009,187500
379,80.0,80.0,479.0,1Story,1,Attchd,2.0,2009,184000
380,80.0,80.0,542.0,1Story,1,Attchd,2.0,2009,278000
381,82.0,82.0,478.0,1Story,1,Attchd,2.0,2009,157000
382,80.0,80.0,479.0,1Story,1,Attchd,2.0,2009,152000
383,,,484.0,2Story,1,Attchd,2.0,2009,197500
384,70.0,70.0,581.0,2Story,1,Attchd,2.0,2009,240900
385,75.0,75.0,552.0,2Story,0,BuiltIn,2.0,2009,263435
386,,,588.0,2Story,1,Attchd,2.0,2009,220000
387,,,565.0,2Story,1,Attchd,2.0,2009,235000
388,,,478.0,1Story,2,Attchd,2.0,2009,213000
389,78.0,78.0,528.0,1Story,1,Attchd,2.0,2009,167900
390,85.0,85.0,506.0,1Story,1,Attchd,2.0,2009,158000
391,78.0,78.0,478.0,1Story,1,Attchd,2.0,2009,165000
392,,,583.0,SLvl,1,Attchd,2.0,2009,158000
393,60.0,60.0,0.0,2Story,0,,0.0,2009,136000
394,,,902.0,1Story,0,Detchd,2.0,2009,148500
395,61.0,61.0,440.0,1Story,0,Detchd,2.0,2009,156000
396,,,477.0,1Story,0,Attchd,2.0,2009,128000
397,,,336.0,1Story,0,Attchd,1.0,2009,143000
398,60.0,60.0,576.0,1Story,0,Detchd,2.0,2009,76500
399,60.0,60.0,660.0,1Story,0,Detchd,2.0,2009,120500
400,70.0,70.0,463.0,1Story,0,Detchd,2.0,2009,124500
401,70.0,70.0,576.0,1Story,0,Detchd,2.0,2009,97000
402,60.0,60.0,576.0,1Story,0,Detchd,2.0,2009,130000
403,21.0,21.0,264.0,2Story,0,Detchd,1.0,2009,111000
404,24.0,24.0,440.0,2Story,0,Attchd,2.0,2009,125000
405,21.0,21.0,280.0,2Story,0,Detchd,1.0,2009,112000
